,autoridadSancionadora,sancion,causa,dependencia,genero,puesto,inhabilitacion,value
430,DIF,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Hombre,Titular de Unidad,4.0,1
431,IMSS,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Subdirector,0.08,1
432,SHCP,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Director General,2.0,1
433,SHCP,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Director,0.08,1
434,IMSS,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Subdirector,3.0,1
435,PGR,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Titular de Unidad,0.08,1
436,IMSS,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Subdirector,3.0,1
437,DIF,INHABILITADO,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Jefe de departamento,2.0,1
438,SHCP,MULTADO,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Director General Adjunto,0.08,1
439,DIF,INHABILITADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Director General Adjunto,3.0,1
440,PGR,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Director,4.0,1
441,DIF,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Titular de Unidad,0.08,1
442,IMSS,SUSPENSION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Jefe de departamento,2.0,1
443,CNDH,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Gasto Público,Mujer,Subdirector,0.08,1
444,PRONIF,INHABILITADO,OBRA FUERA DE TIEMPO,Gasto Público,Mujer,Subdirector,0.08,1
445,CNDH,MULTADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Director General Adjunto,4.0,1
446,CNDH,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Subdirector,0.08,1
447,SHCP,MULTADO,NO FORMALIZACION DE CONTRATO,Gasto Público,Hombre,Director General,2.0,1
448,PGR,MULTADO,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Director General,0.08,1
449,DIF,SUSPENSION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Director,2.0,1
450,SHCP,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Director General Adjunto,4.0,1
451,CNDH,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Subdirector,3.0,1
452,PGR,INDEMNIZACIÓN RESARCITORIA,OBRA FUERA DE TIEMPO,Gasto Público,Hombre,Subdirector,4.0,1
453,SHCP,MULTADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Director General Adjunto,0.08,1
454,CNDH,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Hombre,Director,0.08,1
455,IMSS,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Hombre,Subdirector,2.0,1
456,CNDH,MULTADO,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Hombre,Jefe de departamento,2.0,1
457,DIF,INDEMNIZACIÓN RESARCITORIA,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Hombre,Director,4.0,1
458,IMSS,DESTITUCION,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Jefe de departamento,4.0,1
459,IMSS,INHABILITADO,OBRA FUERA DE TIEMPO,Gasto Público,Hombre,Titular de Unidad,0.08,1
460,PRONIF,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Titular de Unidad,3.0,1
461,CNDH,SANCIÓN ECONÓMICA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Titular de Unidad,2.0,1
462,DIF,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Gasto Público,Hombre,Director General Adjunto,3.0,1
463,CNDH,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Hombre,Director General Adjunto,2.0,1
464,CNDH,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Titular de Unidad,3.0,1
465,SHCP,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Subdirector,4.0,1
466,PGR,SANCIÓN ECONÓMICA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Subdirector,2.0,1
467,SHCP,SANCIÓN ECONÓMICA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Jefe de departamento,2.0,1
468,CNDH,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Director,3.0,1
469,PGR,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Subdirector,4.0,1
470,DIF,DESTITUCION,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Director General,2.0,1
471,IMSS,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Director,0.08,1
472,PGR,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Subdirector,2.0,1
473,DIF,INHABILITADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Director General Adjunto,0.08,1
474,IMSS,SUSPENSION,OBRA FUERA DE TIEMPO,Gasto Público,Hombre,Jefe de departamento,0.08,1
475,PRONIF,SUSPENSION,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Director General,0.08,1
476,PGR,SUSPENSION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Director General,4.0,1
477,PGR,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Jefe de departamento,4.0,1
478,SHCP,DESTITUCION,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Titular de Unidad,4.0,1
479,DIF,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Hombre,Director General,4.0,1
480,PRONIF,INDEMNIZACIÓN RESARCITORIA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Titular de Unidad,2.0,1
481,CNDH,MULTADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Director General Adjunto,3.0,1
482,PRONIF,MULTADO,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Director General Adjunto,4.0,1
483,PRONIF,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Titular de Unidad,3.0,1
484,DIF,INHABILITADO,OBRA FUERA DE TIEMPO,Gasto Público,Hombre,Director General Adjunto,3.0,1
485,SHCP,SUSPENSION,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Hombre,Director,2.0,1
486,PGR,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Director General,4.0,1
487,PGR,SUSPENSION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Titular de Unidad,0.08,1
488,SHCP,INHABILITADO,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Director General Adjunto,2.0,1
489,CNDH,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Hombre,Subdirector,3.0,1
490,CNDH,MULTADO,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Hombre,Titular de Unidad,2.0,1
491,SHCP,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Director General Adjunto,3.0,1
492,IMSS,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Hombre,Subdirector,3.0,1
493,IMSS,INDEMNIZACIÓN RESARCITORIA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Jefe de departamento,2.0,1
494,PGR,MULTADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Director General Adjunto,4.0,1
495,IMSS,DESTITUCION,NO FORMALIZACION DE CONTRATO,Gasto Público,Hombre,Director General,0.08,1
496,DIF,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Hombre,Director General Adjunto,2.0,1
497,SHCP,INHABILITADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Subdirector,0.08,1
498,IMSS,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Gasto Público,Mujer,Subdirector,0.08,1
499,SHCP,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Hombre,Director General Adjunto,3.0,1
500,SHCP,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Jefe de departamento,2.0,1
501,SHCP,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Gasto Público,Hombre,Jefe de departamento,3.0,1
502,IMSS,SUSPENSION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Jefe de departamento,2.0,1
503,PGR,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Jefe de departamento,3.0,1
504,PRONIF,SUSPENSION,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Subdirector,2.0,1
505,DIF,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Director General Adjunto,4.0,1
506,SHCP,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Director General,0.08,1
507,IMSS,INHABILITADO,OBRA FUERA DE TIEMPO,Gasto Público,Mujer,Director General,3.0,1
508,PRONIF,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Director,3.0,1
509,IMSS,INDEMNIZACIÓN RESARCITORIA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Director,3.0,1
510,DIF,SUSPENSION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Titular de Unidad,2.0,1
511,PRONIF,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Director General,3.0,1
512,SHCP,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Jefe de departamento,0.08,1
513,PGR,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Titular de Unidad,4.0,1
514,CNDH,INHABILITADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Jefe de departamento,0.08,1
515,SHCP,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Director General,3.0,1
516,CNDH,SUSPENSION,OBRA FUERA DE TIEMPO,Gasto Público,Mujer,Director General,0.08,1
517,PRONIF,SUSPENSION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Subdirector,2.0,1
518,DIF,SUSPENSION,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Titular de Unidad,2.0,1
519,DIF,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Subdirector,4.0,1
520,CNDH,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Director,3.0,1
521,SHCP,SUSPENSION,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Jefe de departamento,0.08,1
522,SHCP,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Director General Adjunto,3.0,1
523,SHCP,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Director,2.0,1
524,PGR,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Subdirector,3.0,1
525,PRONIF,SUSPENSION,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Director General,2.0,1
526,IMSS,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Director General,0.08,1
527,IMSS,DESTITUCION,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Director General Adjunto,2.0,1
528,CNDH,DESTITUCION,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Hombre,Titular de Unidad,2.0,1
529,SHCP,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Director General,2.0,1
530,CNDH,INHABILITADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Director General,0.08,1
531,CNDH,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Jefe de departamento,4.0,1
532,SHCP,DESTITUCION,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Hombre,Jefe de departamento,3.0,1
533,DIF,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Director General Adjunto,2.0,1
534,PRONIF,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Titular de Unidad,2.0,1
535,DIF,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Director,0.08,1
536,IMSS,DESTITUCION,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Jefe de departamento,0.08,1
537,SHCP,INDEMNIZACIÓN RESARCITORIA,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Titular de Unidad,3.0,1
538,CNDH,SUSPENSION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Director,2.0,1
539,PRONIF,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Hombre,Titular de Unidad,2.0,1
540,PRONIF,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Jefe de departamento,2.0,1
541,PGR,SUSPENSION,OBRA FUERA DE TIEMPO,Gasto Público,Mujer,Jefe de departamento,4.0,1
542,SHCP,MULTADO,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Titular de Unidad,3.0,1
543,SHCP,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Subdirector,4.0,1
544,IMSS,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Subdirector,2.0,1
545,CNDH,MULTADO,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Hombre,Jefe de departamento,2.0,1
546,DIF,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Director General Adjunto,0.08,1
547,SHCP,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Hombre,Subdirector,3.0,1
548,IMSS,SUSPENSION,NO FORMALIZACION DE CONTRATO,Gasto Público,Hombre,Director,3.0,1
549,PRONIF,DESTITUCION,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Director General,4.0,1
550,DIF,SANCIÓN ECONÓMICA,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Subdirector,4.0,1
551,IMSS,SUSPENSION,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Jefe de departamento,2.0,1
552,CNDH,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Director General,4.0,1
553,IMSS,MULTADO,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Director General,0.08,1
554,DIF,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Director General,0.08,1
555,SHCP,DESTITUCION,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Hombre,Subdirector,2.0,1
556,PRONIF,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Hombre,Director,0.08,1
557,PGR,INHABILITADO,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Hombre,Director General Adjunto,4.0,1
558,CNDH,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Jefe de departamento,3.0,1
559,PGR,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Director General,4.0,1
560,DIF,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Mujer,Director,0.08,1
561,DIF,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Jefe de departamento,4.0,1
562,IMSS,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Titular de Unidad,4.0,1
563,PGR,INDEMNIZACIÓN RESARCITORIA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Director General Adjunto,3.0,1
564,IMSS,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Hombre,Director General Adjunto,2.0,1
565,CNDH,ACTA ADMINISTRATIVA,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Mujer,Director,2.0,1
566,DIF,SANCIÓN ECONÓMICA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Hombre,Director,3.0,1
567,DIF,SANCIÓN ECONÓMICA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Titular de Unidad,3.0,1
568,SHCP,MULTADO,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Hombre,Jefe de departamento,2.0,1
569,IMSS,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Jefe de departamento,0.08,1
570,PRONIF,MULTADO,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Mujer,Director General,3.0,1
571,DIF,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Director General,3.0,1
572,IMSS,SUSPENSION,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Director,2.0,1
573,PGR,SUSPENSION,OBRA FUERA DE TIEMPO,Gasto Público,Hombre,Director General,4.0,1
574,DIF,DESTITUCION,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Hombre,Titular de Unidad,4.0,1
575,PGR,INHABILITADO,OBRA FUERA DE TIEMPO,Gasto Público,Mujer,Director General,0.08,1
576,PGR,INHABILITADO,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Hombre,Director General Adjunto,0.08,1
577,PRONIF,SUSPENSION,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Subdirector,3.0,1
578,CNDH,INHABILITADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Jefe de departamento,3.0,1
579,SHCP,INDEMNIZACIÓN RESARCITORIA,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Hombre,Subdirector,4.0,1
580,DIF,INDEMNIZACIÓN RESARCITORIA,OBRA FUERA DE TIEMPO,Comunicación y Transporte,Mujer,Jefe de departamento,4.0,1
581,DIF,INHABILITADO,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Director General,4.0,1
582,CNDH,DESTITUCION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Hombre,Director,2.0,1
583,PRONIF,MULTADO,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Subdirector,0.08,1
584,DIF,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Gasto Público,Mujer,Jefe de departamento,3.0,1
585,SHCP,ACTA ADMINISTRATIVA,OBRA FUERA DE TIEMPO,Gobernanza y Justicia,Mujer,Subdirector,0.08,1
586,IMSS,ACTA ADMINISTRATIVA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Comunicación y Transporte,Mujer,Director,0.08,1
587,PRONIF,INDEMNIZACIÓN RESARCITORIA,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gasto Público,Mujer,Director,2.0,1
588,SHCP,MULTADO,NO FORMALIZACION DE CONTRATO,Gasto Público,Mujer,Subdirector,2.0,1
589,CNDH,INDEMNIZACIÓN RESARCITORIA,OBRA FUERA DE TIEMPO,Gasto Público,Mujer,Director General,3.0,1
590,IMSS,SUSPENSION,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gobernanza y Justicia,Mujer,Jefe de departamento,3.0,1
591,SHCP,ACTA ADMINISTRATIVA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Comunicación y Transporte,Hombre,Jefe de departamento,2.0,1
592,PGR,MULTADO,FALTA DE GARANTÍA DE CUMPLIMIENTO,Gobernanza y Justicia,Mujer,Titular de Unidad,2.0,1
593,SHCP,MULTADO,NO FORMALIZACION DE CONTRATO,Gobernanza y Justicia,Hombre,Titular de Unidad,3.0,1
594,DIF,DESTITUCION,NO FORMALIZACION DE CONTRATO,Comunicación y Transporte,Hombre,Director General,3.0,1
595,CNDH,INDEMNIZACIÓN RESARCITORIA,PROPORCIÓN DE INFORMACIÓN NO VERAZ,Gasto Público,Mujer,Subdirector,2.0,1
